actual_close,predicted_close,error,percent_error
33.76,34.55062,-0.7906210327148457,-2.3418869452453963
37.57,37.359055,0.21094543457031278,0.5614730757793792
49.94,50.35917,-0.4191690063476585,-0.8393452269676783
65.5,65.315254,0.18474578857421875,0.2820546390446088
51.03,51.908566,-0.8785655212402332,-1.7216647486581094
40.655,42.861782,-2.2067820739746082,-5.428070530007646
47.01,46.683975,0.3260247802734355,0.6935221873504266
46.86,47.7856,-0.9255987548828131,-1.9752427547648592
36.17,35.26685,0.9031504821777361,2.496960138727498
70.65,71.542404,-0.8924041748046818,-1.2631340053852536
45.34,46.793877,-1.4538766479492153,-3.2066092808760813
62.14,63.259758,-1.1197579956054682,-1.801992268434934
60.17,59.442066,0.7279338073730486,1.2097952590544268
56.26,56.983395,-0.7233946228027364,-1.285806297196474
47.19,47.093834,0.09616607666015398,0.20378486259833434
